,订单id,交易id,父交易id,交易金额,错误码,交易类别,交易状态,交易创建日期
0,7675398239,8330669343,,44.57,,authorization,success,2016-08-21
1,7675398239,8331258783,8330669343,0.0,,void,success,2016-08-21
2,7676331935,8331688479,,124.55,,authorization,success,2016-08-21
3,7676363167,8331722975,,97.68,,authorization,success,2016-08-21
4,7676539359,8331919391,,131.1,,authorization,success,2016-08-21
5,7676549855,8331930399,,91.12,,authorization,success,2016-08-21
6,7676553055,8331934431,,75.0,,authorization,success,2016-08-21
7,7676564127,8331948191,,94.4,,authorization,success,2016-08-22
8,7676566815,8331950623,,34.31,,authorization,success,2016-08-22
9,7676582495,8331968735,,168.0,,authorization,success,2016-08-22
10,7676594463,8331969951,,108.6,incorrect_zip,authorization,failure,2016-08-22
11,7676594463,8331976287,,108.6,incorrect_zip,authorization,failure,2016-08-22
12,7676590623,8331978399,,56.16,,authorization,success,2016-08-22
13,7676594463,8331982559,,108.6,,authorization,success,2016-08-22
14,7676602079,8331991775,,114.71,,authorization,success,2016-08-22
15,7676610719,8332001311,,34.31,,authorization,success,2016-08-22
16,7676620191,8332012127,,45.24,,authorization,success,2016-08-22
17,7676629791,8332022559,,56.16,,authorization,success,2016-08-22
18,7676633503,8332026079,,112.97,,authorization,success,2016-08-22
19,7676633695,8332026335,,78.01,,authorization,success,2016-08-22
20,7676636959,8332029919,,121.27,,authorization,success,2016-08-22
21,7676638943,8332032351,,145.0,,authorization,success,2016-08-22
22,7676641375,8332035295,,34.31,,authorization,success,2016-08-22
23,7676649887,8332045343,,45.24,,authorization,success,2016-08-22
24,7676657695,8332054239,,32.0,,authorization,success,2016-08-22
25,385469912573,436968429053,,138.0,,sale,success,2017-03-26
26,7676658079,8332054815,,132.0,,authorization,success,2016-08-22
27,7676672351,8332072735,,45.24,,authorization,success,2016-08-22
28,7676906399,8332078623,,157.97,,authorization,failure,2016-08-22
29,7676689567,8332092511,,34.31,,authorization,success,2016-08-22
30,7676695775,8332099103,,61.63,,authorization,success,2016-08-22
31,7676711455,8332116639,,151.86,,authorization,success,2016-08-22
32,7676713759,8332119071,,113.62,,authorization,success,2016-08-22
33,7676717215,8332122847,,168.25,,authorization,success,2016-08-22
34,7676724895,8332131359,,138.7,,authorization,success,2016-08-22
35,7676727455,8332135455,,113.62,,authorization,success,2016-08-22
36,7676824287,8332252767,,133.29,,authorization,success,2016-08-22
37,7676870751,8332308639,,100.0,,authorization,success,2016-08-22
38,7676880287,8332320415,,52.0,,authorization,success,2016-08-22
39,7676882847,8332323295,,210.97,,authorization,success,2016-08-22
40,7676905311,8332351583,,56.16,,authorization,success,2016-08-22
41,7676906399,8332352991,,157.97,,authorization,success,2016-08-22
42,7676928287,8332379359,,67.0,,authorization,success,2016-08-22
43,7676950559,8332405151,,157.97,,authorization,success,2016-08-22
44,7676970591,8332426399,,76.0,,authorization,success,2016-08-22
45,7676978527,8332430431,,103.0,card_declined,authorization,failure,2016-08-22
46,7676978527,8332436319,,103.0,,authorization,success,2016-08-22
47,7676989599,8332448287,,270.48,,authorization,success,2016-08-22
48,7677033695,8332496671,,149.0,,authorization,success,2016-08-22
49,7677036255,8332500063,,121.0,,authorization,success,2016-08-22
50,7677053023,8332520287,,32.0,,authorization,success,2016-08-22
51,7677060767,8332530079,,125.0,,authorization,success,2016-08-22
52,7677579231,8333092447,,34.31,,authorization,success,2016-08-22
53,7677083615,8332555423,,154.83,,authorization,success,2016-08-22
54,7677109471,8332585695,,82.38,,authorization,success,2016-08-22
55,7677147743,8332630751,,32.0,,authorization,success,2016-08-22
56,7677148319,8332631135,,222.83,,authorization,success,2016-08-22
57,7677160543,8332644447,,114.0,incorrect_cvc,authorization,failure,2016-08-22
58,7677160543,8332646111,,114.0,,authorization,success,2016-08-22
59,7677225439,8332687455,,145.0,,authorization,success,2016-08-22
60,7677229151,8332691999,,77.0,,authorization,success,2016-08-22
61,7677250015,8332716383,,32.0,,authorization,success,2016-08-22
62,7677255135,8332723295,,165.83,,authorization,success,2016-08-22
63,7677256863,8332725407,,45.24,,authorization,success,2016-08-22
64,7677260575,8332729951,,52.0,,authorization,success,2016-08-22
65,7677261663,8332731487,,158.0,,authorization,success,2016-08-22
66,7677262943,8332732767,,182.0,,authorization,success,2016-08-22
67,7677265375,8332735391,,32.0,,authorization,success,2016-08-22
68,7677267935,8332738399,,45.0,,authorization,success,2016-08-22
69,7677268639,8332739167,,32.0,,authorization,success,2016-08-22
70,7677269023,8332739487,,112.0,,authorization,success,2016-08-22
71,7677271455,8332741855,,65.0,,authorization,success,2016-08-22
72,7677283935,8332756575,,226.0,,authorization,success,2016-08-22
73,7677285855,8332758623,,107.97,,authorization,success,2016-08-22
74,7677307359,8332786143,,42.0,,authorization,success,2016-08-22
75,7677307487,8332786335,,87.0,,authorization,success,2016-08-22
76,7677308703,8332788063,,49.0,,authorization,success,2016-08-22
77,7677329375,8332812319,,229.85,,authorization,success,2016-08-22
78,7677330079,8332813151,,34.31,,authorization,success,2016-08-22
79,7677330271,8332813215,,126.73,,authorization,success,2016-08-22
80,7677338463,8332822879,,113.62,,authorization,success,2016-08-22
81,7677339999,8332824991,,45.24,,authorization,success,2016-08-22
82,7677353119,8332840991,,132.0,,authorization,success,2016-08-22
83,7677364639,8332853727,,45.0,,authorization,success,2016-08-22
84,7677368287,8332858143,,268.0,,authorization,success,2016-08-22
85,7677371871,8332862623,,72.55,,authorization,success,2016-08-22
86,7677374943,8332865759,,100.0,,authorization,success,2016-08-22
87,7677381087,8332872991,,87.0,,authorization,success,2016-08-22
88,7677381471,8332873439,,124.55,,authorization,success,2016-08-22
89,7677383711,8332876127,,32.0,,authorization,success,2016-08-22
90,7677387807,8332881247,,119.0,,authorization,success,2016-08-22
91,7677401823,8332897439,,103.0,,authorization,success,2016-08-22
92,7677412447,8332909279,,91.12,,authorization,success,2016-08-22
93,7677413279,8332910495,,131.1,,authorization,success,2016-08-22
94,7677413919,8332911391,,179.17,,authorization,success,2016-08-22
95,7677415647,8332913119,,94.4,,authorization,success,2016-08-22
96,7677421151,8332919647,,65.0,,authorization,success,2016-08-22
97,7677426655,8332925535,,331.0,,authorization,success,2016-08-22
98,7677427807,8332927071,,121.0,,authorization,success,2016-08-22
99,7677431007,8332930719,,136.8,,authorization,success,2016-08-22
100,7677431711,8332931551,,121.0,,authorization,success,2016-08-22
101,7677435999,8332937311,,45.24,,authorization,success,2016-08-22
102,7677438879,8332940639,,87.0,,authorization,success,2016-08-22
103,7677442463,8332945055,,42.0,,authorization,success,2016-08-22
104,7677442975,8332945567,,126.0,,authorization,success,2016-08-22
105,7677460703,8332965151,,81.29,,authorization,success,2016-08-22
106,7677463135,8332968415,,52.0,,authorization,success,2016-08-22
107,7677464671,8332969951,,32.0,,authorization,success,2016-08-22
108,7677474399,8332980831,,122.85,,authorization,success,2016-08-22
109,7677477663,8332983647,,34.31,,authorization,success,2016-08-22
110,7677490655,8332997919,,169.97,,authorization,success,2016-08-22
111,7677491231,8332998623,,59.0,,authorization,success,2016-08-22
112,7677502367,8333003487,,119.83,incorrect_zip,authorization,failure,2016-08-22
113,7677519263,8333004767,,52.0,,authorization,failure,2016-08-22
114,7677502367,8333009439,,119.83,,authorization,success,2016-08-22
115,7677519263,8333010271,,32.0,,authorization,failure,2016-08-22
116,7677519263,8333011039,,32.0,,authorization,failure,2016-08-22
117,7677519263,8333012831,,32.0,,authorization,failure,2016-08-22
118,7677505887,8333013023,,77.0,,authorization,success,2016-08-22
119,7677510111,8333017503,,361.0,,authorization,success,2016-08-22
120,7677513503,8333021215,,34.31,,authorization,success,2016-08-22
121,7677517087,8333024223,,32.0,,authorization,success,2016-08-22
122,7677519263,8333027039,,32.0,,authorization,success,2016-08-22
123,7677522847,8333031263,,75.0,,authorization,success,2016-08-22
124,7677525343,8333034015,,103.0,,authorization,success,2016-08-22
125,7677525919,8333034719,,101.0,,authorization,success,2016-08-22
126,7677528671,8333037407,,196.65,,authorization,success,2016-08-22
127,7677529119,8333037983,,128.92,,authorization,success,2016-08-22
128,7677536863,8333046175,,88.0,,authorization,success,2016-08-22
129,7677545631,8333055391,,186.82,,authorization,success,2016-08-22
130,7677566303,8333078431,,113.62,,authorization,success,2016-08-22
131,7677587551,8333101023,,124.55,,authorization,success,2016-08-22
132,7677594783,8333108575,,92.83,,authorization,success,2016-08-22
133,7677601311,8333116063,,148.0,,authorization,success,2016-08-22
134,7677605087,8333120863,,63.81,,authorization,success,2016-08-22
135,7677606943,8333122783,,272.03,,authorization,success,2016-08-22
136,7677610271,8333125983,,75.0,,authorization,success,2016-08-22
137,7677616287,8333132511,,42.0,,authorization,success,2016-08-22
138,7677621471,8333138527,,76.0,,authorization,success,2016-08-22
139,7677625887,8333144415,,196.85,,authorization,success,2016-08-22
140,7677633823,8333152543,,56.16,,authorization,success,2016-08-22
141,7677635871,8333154463,,97.0,,authorization,success,2016-08-22
142,7677636703,8333155359,,32.0,,authorization,success,2016-08-22
143,7677640479,8333159455,,32.0,,authorization,success,2016-08-22
144,7677647519,8333160159,,71.32,,authorization,failure,2016-08-22
145,7677641503,8333160607,,34.31,,authorization,success,2016-08-22
146,7677645535,8333165727,,84.0,,authorization,success,2016-08-22
147,7677647519,8333168031,,71.32,,authorization,success,2016-08-22
148,7677654175,8333171871,,141.0,,authorization,failure,2016-08-22
149,7677654175,8333175647,,141.0,,authorization,success,2016-08-22
150,7677654943,8333176607,,32.0,,authorization,success,2016-08-22
151,7677656095,8333177887,,67.0,,authorization,success,2016-08-22
152,7677658335,8333180639,,87.0,,authorization,success,2016-08-22
153,7677661151,8333183839,,77.0,,authorization,success,2016-08-22
154,7677661919,8333184799,,32.0,,authorization,success,2016-08-22
155,7677662175,8333184863,,42.0,,authorization,success,2016-08-22
156,7677664863,8333187871,,52.0,,authorization,success,2016-08-22
157,7677668575,8333191775,,122.36,,authorization,success,2016-08-22
158,7677670559,8333194079,,67.0,,authorization,success,2016-08-22
159,7677675743,8333199391,,49.0,,authorization,success,2016-08-22
160,7677679007,8333202911,,32.0,,authorization,success,2016-08-22
161,7677679327,8333203487,,52.0,,authorization,success,2016-08-22
162,7676539359,8333205471,8331919391,131.1,,capture,success,2016-08-22
163,7676549855,8333205599,8331930399,91.12,,capture,success,2016-08-22
164,7676553055,8333205791,8331934431,75.0,,capture,success,2016-08-22
165,7676564127,8333205919,8331948191,94.4,,capture,success,2016-08-22
166,7676566815,8333206111,8331950623,34.31,,capture,success,2016-08-22
167,7676582495,8333206431,8331968735,168.0,,capture,success,2016-08-22
168,7676590623,8333207007,8331978399,56.16,,capture,success,2016-08-22
169,7676594463,8333207263,8331982559,108.6,,capture,success,2016-08-22
170,7676602079,8333207519,8331991775,114.71,,capture,success,2016-08-22
171,7676610719,8333207583,8332001311,34.31,,capture,success,2016-08-22
172,7676620191,8333208095,8332012127,45.24,,capture,success,2016-08-22
173,7676629791,8333208159,8332022559,56.16,,capture,success,2016-08-22
174,7676633503,8333208223,8332026079,112.97,,capture,success,2016-08-22
175,7676633695,8333208351,8332026335,78.01,,capture,success,2016-08-22
176,7676636959,8333208479,8332029919,121.27,,capture,success,2016-08-22
177,7676638943,8333208607,8332032351,145.0,,capture,success,2016-08-22
178,7676641375,8333208863,8332035295,34.31,,capture,success,2016-08-22
179,7676649887,8333208927,8332045343,45.24,,capture,success,2016-08-22
180,7676657695,8333209247,8332054239,32.0,,capture,success,2016-08-22
181,7677685791,8333211999,,251.0,,authorization,success,2016-08-22
182,7677687647,8333213855,,32.0,,authorization,success,2016-08-22
183,7677687583,8333214111,,42.0,,authorization,success,2016-08-22
184,7677688991,8333215455,,106.83,,authorization,success,2016-08-22
185,7677689183,8333215711,,49.0,,authorization,success,2016-08-22
186,7677689503,8333215903,,163.16,,authorization,success,2016-08-22
187,7677690143,8333216799,,32.0,,authorization,success,2016-08-22
188,7677693407,8333221087,,122.0,,authorization,success,2016-08-22
189,7677694623,8333222303,,111.88,,authorization,success,2016-08-22
190,7677695455,8333223583,,45.24,,authorization,success,2016-08-22
191,7677700447,8333224095,,52.0,incorrect_zip,authorization,failure,2016-08-22
192,7677988767,8333227999,,80.2,incorrect_zip,authorization,failure,2016-08-22
193,7677700319,8333229151,,56.16,,authorization,success,2016-08-22
